Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
01/04/2025,5317.38,5098.20,219.18,225.09,370.93,108.43,807.25,0.00,0.00,491.72,547.77,398.11,1058.87,891.84,198.19,Abril
02/04/2025,5354.73,5005.51,349.22,275.99,333.76,225.96,725.38,0.00,1.78,413.53,532.42,380.95,898.15,996.21,221.38,Abril
03/04/2025,5794.25,5496.65,297.60,184.08,809.82,186.23,657.75,16.11,0.00,379.94,695.96,504.70,925.81,929.66,206.59,Abril
04/04/2025,4814.66,4639.83,174.83,319.62,93.59,0.00,560.67,0.00,18.86,543.10,717.20,532.39,883.16,794.65,176.59,Abril
07/04/2025,4393.48,4393.48,0.00,170.00,559.57,152.72,580.18,0.00,9.31,516.48,736.08,414.78,478.51,634.79,141.06,Abril
08/04/2025,6066.51,5872.01,194.50,253.29,317.51,249.01,467.84,0.00,0.00,782.42,792.76,500.30,751.66,1437.73,319.49,Abril
09/04/2025,6030.35,5876.05,154.30,323.32,601.02,190.94,646.42,6.44,2.84,683.19,662.86,485.96,801.58,1203.94,267.54,Abril
10/04/2025,6206.66,5935.76,270.90,219.25,653.13,0.00,918.57,0.00,1.43,789.92,677.21,525.37,1141.53,825.83,183.52,Abril
11/04/2025,5717.84,5447.43,270.41,407.20,95.29,33.25,835.51,110.69,0.00,409.09,733.86,452.37,1035.96,1091.53,242.68,Abril
14/04/2025,4585.21,4314.31,270.90,260.81,54.64,29.03,818.05,0.00,0.00,553.64,864.04,364.07,444.59,756.83,168.61,Abril
15/04/2025,5756.69,5486.28,270.41,184.27,460.54,223.14,578.05,0.00,6.01,491.02,797.18,485.59,513.14,1429.64,317.70,Abril
16/04/2025,6383.02,6231.59,151.43,148.65,564.53,61.59,672.01,0.00,15.21,576.63,755.04,457.59,1178.94,1473.87,327.53,Abril
17/04/2025,8535.44,8394.73,140.71,3447.70,0.00,0.00,521.54,0.00,8.00,737.94,789.08,422.81,977.67,1219.08,270.91,Abril
22/04/2025,6174.79,5987.91,186.88,934.10,0.00,0.00,205.63,38.67,2.88,701.78,997.91,418.73,1053.06,1337.85,297.30,Abril
23/04/2025,5450.58,4973.77,476.81,197.06,0.00,112.61,111.83,0.00,7.13,659.04,729.66,363.19,1256.27,1257.03,279.95,Abril
24/04/2025,4978.43,4782.25,196.18,200.99,463.47,42.28,485.00,0.00,14.19,705.31,467.32,456.13,998.11,776.82,172.63,Abril
25/04/2025,4900.07,4440.77,459.30,126.34,275.61,198.87,399.03,0.00,10.41,584.90,487.98,625.62,832.72,735.78,163.51,Abril
28/04/2025,5828.71,5669.21,159.50,199.30,418.67,259.35,346.66,0.00,17.95,566.27,950.58,862.77,1108.09,768.74,170.83,Abril
29/04/2025,5422.44,5250.36,172.08,187.74,576.68,28.57,413.34,0.00,34.03,629.02,519.29,857.76,1142.99,703.76,157.18,Abril
30/04/2025,5209.60,4929.19,280.41,458.21,498.45,67.87,552.37,66.41,38.87,440.23,791.29,487.87,434.54,894.34,198.74,Abril
