Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
03/02/2025,6391.27,6144.099999999999,247.17,251.66,464.18,172.27,607.27,0.0,2.36,482.49,624.71,742.48,898.12,1553.37,345.19,Fevereiro
04/02/2025,6295.250000000001,6295.250000000001,0.0,314.7,893.28,327.5,547.74,0.0,0.47,531.94,662.93,747.65,794.37,1206.55,268.12,Fevereiro
05/02/2025,6982.86,6982.86,0.0,710.02,936.3,278.44,702.16,0.0,0.0,756.9,814.13,553.05,823.36,1152.41,256.09,Fevereiro
06/02/2025,6368.379999999999,6368.379999999999,0.0,235.38,1410.14,182.84,661.59,0.0,51.28,548.04,583.96,689.76,691.43,1074.56,239.4,Fevereiro
07/02/2025,5047.94,4795.66,252.28,73.82,0.0,0.0,799.11,0.0,15.13,782.06,500.7,550.28,898.83,961.56,214.17,Fevereiro
08/02/2025,295.45,295.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.66,157.79,0.0,0.0,0.0,0.0,Fevereiro
10/02/2025,5637.39,5469.0,168.39,279.33,0.0,10.52,1200.23,0.0,0.0,594.54,711.4,587.75,748.78,1093.46,242.99,Fevereiro
11/02/2025,6896.75,6609.28,287.47,624.2,131.99,151.0,1306.7,0.0,0.0,574.81,927.4,623.35,1021.57,1020.56,227.7,Fevereiro
12/02/2025,6318.17,6094.61,223.56,167.58,949.54,359.64,758.07,0.0,2.52,587.59,503.0,558.52,850.24,1110.07,247.84,Fevereiro
13/02/2025,6777.900000000001,6450.6,327.3,353.67,855.26,235.43,850.92,0.0,0.0,511.6,850.47,487.1,1023.19,1049.69,233.27,Fevereiro
14/02/2025,6798.799999999998,6490.809999999999,307.99,264.11,793.06,285.15,884.56,0.0,50.23,499.37,750.46,560.15,1218.81,969.42,215.49,Fevereiro
15/02/2025,832.9399999999999,832.9399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.65,160.56,0.0,445.54,122.88,27.31,Fevereiro
17/02/2025,6428.58,6189.04,239.54,181.32,1087.13,272.4,726.72,0.0,0.0,537.16,481.56,727.14,739.41,1175.07,261.13,Fevereiro
18/02/2025,7053.990000000001,6829.500000000001,224.49,229.54,694.75,0.0,902.41,0.0,29.17,1042.03,1013.84,509.43,988.19,1161.93,258.21,Fevereiro
19/02/2025,6454.660000000001,6373.39,81.27,225.66,484.57,243.82,631.21,0.0,0.0,704.22,940.8,854.01,979.78,1071.26,238.06,Fevereiro
20/02/2025,6632.18,6632.18,0.0,669.67,712.03,300.66,743.41,0.0,4.52,743.62,717.83,625.91,904.27,990.21,220.05,Fevereiro
21/02/2025,6714.360000000001,6590.26,124.1,235.01,721.67,0.0,927.66,0.0,3.82,897.75,846.45,465.16,1196.98,1060.17,235.59,Fevereiro
24/02/2025,5987.08,5852.33,134.75,191.79,570.65,324.75,721.8,0.0,25.41,879.65,570.31,552.33,648.6,1118.49,248.55,Fevereiro
25/02/2025,6486.97,6486.97,0.0,367.08,394.03,0.0,1458.7,0.0,5.1,793.7,388.09,629.37,840.94,1316.74,293.22,Fevereiro
26/02/2025,6403.610000000001,6349.43,54.18,355.5,0.0,15.03,1390.91,16.11,3.86,937.73,703.15,637.63,868.15,1162.93,258.43,Fevereiro
27/02/2025,6199.690000000001,5996.64,203.05,1.55,299.09,100.0,981.46,0.0,1.91,789.7,635.83,649.05,975.85,1278.16,284.04,Fevereiro
28/02/2025,6650.360000000001,5746.85,903.51,23.69,587.84,322.54,765.9,0.0,3.96,837.19,607.71,527.6,797.13,1041.78,231.51,Fevereiro
