Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
02/01/2025,7031.09,7031.09,0.0,1200.66,415.38,186.45,1145.39,0.0,5.28,675.78,737.39,601.12,774.49,1054.76,234.39,Janeiro
03/01/2025,6335.7,6335.7,0.0,558.53,974.77,0.0,990.12,0.0,0.0,515.22,568.24,430.59,1006.52,1056.85,234.86,Janeiro
04/01/2025,699.21,699.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.14,249.36,266.49,59.22,Janeiro
06/01/2025,5652.780000000001,5652.780000000001,0.0,461.87,505.43,162.73,522.75,0.0,69.33,519.0,630.98,662.48,1094.28,837.76,186.17,Janeiro
07/01/2025,5966.36,5681.41,284.95,255.83,572.0,192.61,652.6,0.0,6.01,543.26,624.63,508.41,1289.74,847.8,188.52,Janeiro
08/01/2025,5221.91,4717.41,504.5,106.98,300.54,112.26,822.78,0.0,0.0,467.55,620.85,525.43,521.11,1014.47,225.44,Janeiro
09/01/2025,5533.47,5533.47,0.0,531.02,446.82,73.0,854.99,48.34,1.64,544.47,611.21,556.49,744.13,917.43,203.93,Janeiro
10/01/2025,4463.679999999999,4463.679999999999,0.0,183.87,249.8,189.98,602.34,30.61,4.22,439.34,703.45,332.94,630.54,897.21,199.38,Janeiro
13/01/2025,5057.95,5057.95,0.0,426.24,609.54,44.67,705.26,0.0,1.9,688.2,740.64,376.86,709.99,617.44,137.21,Janeiro
14/01/2025,5278.9400000000005,5244.150000000001,34.79,820.6,250.25,115.85,711.61,0.0,0.0,343.54,782.88,521.47,742.92,781.39,173.64,Janeiro
15/01/2025,5850.14,5685.54,164.6,318.2,551.87,217.8,783.15,0.0,0.29,652.97,643.56,623.38,661.01,1006.78,226.53,Janeiro
16/01/2025,5948.4400000000005,5734.580000000001,213.86,343.38,302.83,221.58,491.99,0.0,1.42,585.31,836.57,753.88,969.69,1004.67,223.26,Janeiro
17/01/2025,6272.86,6022.45,250.41,579.02,328.26,23.68,687.1,0.0,57.92,737.8,574.06,699.33,1068.29,1036.03,230.96,Janeiro
20/01/2025,5314.04,5212.63,101.41,170.94,640.23,96.37,773.08,16.11,36.25,608.95,585.85,501.7,1049.66,600.13,133.36,Janeiro
21/01/2025,6390.839999999999,6341.879999999999,48.96,485.79,480.84,105.99,777.25,48.34,20.41,590.33,693.54,808.62,1022.44,1070.45,237.88,Janeiro
22/01/2025,5509.309999999999,5509.309999999999,0.0,308.17,625.17,247.23,670.62,0.0,18.22,639.96,813.0,570.91,568.36,856.49,191.18,Janeiro
23/01/2025,6118.18,6118.18,0.0,274.32,253.41,30.45,738.83,47.16,6.64,709.86,838.97,712.71,1306.98,980.68,218.17,Janeiro
24/01/2025,6546.27,6546.27,0.0,348.45,556.56,217.89,700.3,0.0,61.41,694.5,690.29,635.76,1079.03,1278.07,284.01,Janeiro
24/01/2025,162.89,0.0,162.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Janeiro
25/01/2025,338.19,338.19,0.0,0.0,0.0,0.0,139.37,0.0,0.0,99.65,0.0,99.17,0.0,0.0,0.0,Janeiro
27/01/2025,6958.09,6759.77,198.32,717.27,432.99,57.74,840.48,0.0,352.45,686.18,824.22,472.7,1241.59,927.84,206.31,Janeiro
28/01/2025,6196.37,6123.9,72.47,686.56,99.81,67.4,997.31,0.0,37.81,705.52,735.29,616.06,662.84,1239.79,275.51,Janeiro
29/01/2025,6360.15,5927.0,433.15,158.04,440.5,167.22,656.13,0.0,14.64,540.33,678.67,703.3,941.16,1331.14,295.87,Janeiro
30/01/2025,7752.0,7373.42,378.58,665.03,633.06,213.08,592.57,0.0,16.44,649.72,816.02,813.46,1210.34,1443.03,320.67,Janeiro
31/01/2025,6316.330000000001,6316.330000000001,0.0,493.83,747.2,253.99,625.68,0.0,9.27,686.99,913.1,657.28,695.26,1008.92,224.81,Janeiro
