Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
01/03/2025,335.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.23,126.14,167.63,0.00,0.00,0.00,Março
03/03/2025,7046.18,6371.83,674.35,61.82,542.07,292.93,799.88,0.00,0.00,580.68,766.21,320.77,977.48,1660.65,369.34,Março
04/03/2025,6377.79,6048.12,329.67,202.21,624.20,175.53,807.05,0.00,0.00,792.70,719.02,570.78,420.05,1420.84,315.74,Março
05/03/2025,6463.67,5876.34,587.33,1.35,578.14,368.73,431.03,0.00,0.00,631.09,960.84,803.79,805.14,1060.55,235.68,Março
06/03/2025,6126.40,5568.63,557.77,42.37,849.03,6.32,642.90,0.00,13.27,576.26,930.33,617.82,646.79,1017.44,226.10,Março
07/03/2025,5661.55,5533.30,128.25,614.40,512.19,102.45,398.27,0.00,1.71,575.03,766.52,517.94,554.44,1219.08,271.27,Março
10/03/2025,5687.89,5687.89,0.00,356.20,381.88,0.00,585.05,32.22,7.12,625.50,834.29,587.10,913.09,1117.18,248.26,Março
11/03/2025,4280.59,4081.33,199.26,0.00,0.00,0.00,722.27,0.00,0.00,538.90,729.70,774.50,462.43,698.34,155.19,Março
12/03/2025,6139.31,5393.95,745.36,110.89,0.00,0.00,798.93,0.00,2.47,625.68,849.48,753.99,820.47,1171.47,260.57,Março
13/03/2025,5957.76,5147.18,810.58,81.24,363.88,187.91,582.94,0.00,15.46,718.97,745.19,439.71,816.04,977.97,217.87,Março
14/03/2025,5193.27,4471.24,722.03,87.68,407.14,221.54,348.14,0.00,50.62,571.81,692.17,452.69,750.06,727.53,161.86,Março
15/03/2025,747.18,747.18,0.00,0.00,0.00,0.00,50.60,0.00,0.00,0.00,174.24,379.96,0.00,116.49,25.89,Março
17/03/2025,5883.76,5713.47,170.29,375.21,769.78,133.41,805.57,0.00,2.39,434.44,813.78,305.90,734.60,1095.05,243.34,Março
18/03/2025,6245.66,5987.95,257.71,814.63,342.88,121.09,890.23,0.00,26.38,781.23,615.98,571.90,327.40,1224.19,272.04,Março
19/03/2025,5326.06,5100.56,225.50,161.45,264.32,80.83,644.06,0.00,0.00,818.87,716.11,491.09,665.50,1029.39,228.94,Março
20/03/2025,4792.19,4410.74,381.45,168.27,301.17,64.40,490.31,0.00,1.91,638.15,695.14,674.11,359.40,832.81,185.07,Março
21/03/2025,4751.91,4275.10,476.81,141.56,239.13,114.39,539.22,0.00,5.25,551.25,388.16,485.70,399.48,1154.42,256.54,Março
24/03/2025,4516.03,4032.82,483.21,176.91,189.42,26.46,479.66,172.40,14.74,330.12,395.95,481.06,425.26,1097.05,243.79,Março
25/03/2025,4246.07,3925.67,320.40,199.44,232.14,38.83,505.63,25.78,6.55,330.45,440.52,577.18,459.12,908.21,201.82,Março
26/03/2025,4120.43,3944.24,176.19,370.94,468.29,146.72,371.07,0.00,15.23,281.97,233.78,355.02,730.08,793.07,178.07,Março
27/03/2025,4159.54,4004.90,154.64,254.17,55.18,74.85,572.33,0.00,0.00,285.36,411.15,252.36,757.51,1097.99,244.00,Março
28/03/2025,3984.68,3631.00,353.68,182.26,473.61,158.40,489.36,0.00,0.00,237.50,339.00,250.78,376.55,919.26,204.28,Março
31/03/2025,4425.84,3962.24,463.60,291.89,470.40,117.89,665.61,0.00,0.00,342.71,418.40,260.15,460.35,764.87,169.97,Março
