,Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
0,2025-01-02,7031.09,7031.09,0.00,1200.66,415.38,186.45,1145.39,0.00,5.28,675.78,737.39,601.12,774.49,1054.76,234.39,Janeiro,2025.00
1,2025-01-03,6335.70,6335.70,0.00,558.53,974.77,0.00,990.12,0.00,0.00,515.22,568.24,430.59,1006.52,1056.85,234.86,Janeiro,2025.00
2,2025-01-04,699.21,699.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.14,249.36,266.49,59.22,Janeiro,2025.00
3,2025-01-06,5652.78,5652.78,0.00,461.87,505.43,162.73,522.75,0.00,69.33,519.00,630.98,662.48,1094.28,837.76,186.17,Janeiro,2025.00
4,2025-01-07,5966.36,5681.41,284.95,255.83,572.00,192.61,652.60,0.00,6.01,543.26,624.63,508.41,1289.74,847.80,188.52,Janeiro,2025.00
5,2025-01-08,5221.91,4717.41,504.50,106.98,300.54,112.26,822.78,0.00,0.00,467.55,620.85,525.43,521.11,1014.47,225.44,Janeiro,2025.00
6,2025-01-09,5533.47,5533.47,0.00,531.02,446.82,73.00,854.99,48.34,1.64,544.47,611.21,556.49,744.13,917.43,203.93,Janeiro,2025.00
7,2025-01-10,4463.68,4463.68,0.00,183.87,249.80,189.98,602.34,30.61,4.22,439.34,703.45,332.94,630.54,897.21,199.38,Janeiro,2025.00
8,2025-01-13,5057.95,5057.95,0.00,426.24,609.54,44.67,705.26,0.00,1.90,688.20,740.64,376.86,709.99,617.44,137.21,Janeiro,2025.00
9,2025-01-14,5278.94,5244.15,34.79,820.60,250.25,115.85,711.61,0.00,0.00,343.54,782.88,521.47,742.92,781.39,173.64,Janeiro,2025.00
10,2025-01-15,5850.14,5685.54,164.60,318.20,551.87,217.80,783.15,0.00,0.29,652.97,643.56,623.38,661.01,1006.78,226.53,Janeiro,2025.00
11,2025-01-16,5948.44,5734.58,213.86,343.38,302.83,221.58,491.99,0.00,1.42,585.31,836.57,753.88,969.69,1004.67,223.26,Janeiro,2025.00
