Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
2024-01-02,4381.09,4080.47,300.62,278.63,338.38,186.79,760.49,0.0,9.59,451.09,358.69,342.32,511.05,689.02,154.42,Janeiro,2024
2024-01-03,5628.610000000001,4836.84,791.77,94.67,800.14,190.16,1126.48,0.0,29.48,511.05,465.63,280.48,502.37,684.31,152.07,Janeiro,2024
2024-01-04,5856.26,5238.33,617.93,388.23,733.45,211.74,739.92,0.0,48.37,565.93,529.73,452.4,549.63,833.2,185.73,Janeiro,2024
2024-01-05,4984.4800000000005,4613.72,370.76,223.03,274.7,136.77,1122.09,0.0,17.18,462.18,417.03,424.81,428.49,904.76,202.68,Janeiro,2024
2024-01-08,5111.28,4699.33,411.95,284.66,690.94,177.14,602.39,0.0,0.35,426.78,510.93,455.21,675.24,716.09,159.6,Janeiro,2024
2024-01-09,4931.3,4494.63,436.67,302.37,487.37,233.47,729.15,0.0,22.45,468.89,536.31,314.05,687.19,583.67,129.71,Janeiro,2024
2024-01-10,4653.33,4448.18,205.15,274.99,647.56,226.88,669.77,0.0,0.0,413.72,426.78,122.56,568.96,897.34,199.62,Janeiro,2024
2024-01-11,4805.87,4706.51,99.36,216.45,577.99,220.16,656.18,0.0,0.0,558.9,539.12,470.84,543.39,753.99,169.49,Janeiro,2024
2024-01-12,4596.49,4418.53,177.96,168.45,516.79,139.24,949.37,0.0,0.0,512.47,385.78,218.94,532.45,808.13,186.91,Janeiro,2024
2024-01-13,325.21000000000004,190.68,134.53,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.54,33.9,Janeiro,2024
2024-01-15,5437.59,5224.38,213.21,384.44,345.41,143.18,784.18,0.0,35.02,677.89,741.8,365.73,606.1,933.24,207.39,Janeiro,2024
2024-01-16,5093.08,4818.56,274.52,250.82,501.79,130.9,770.82,0.0,0.0,636.82,576.97,478.54,733.92,603.8,134.18,Janeiro,2024
2024-01-17,5448.45,5339.2,109.25,368.68,563.69,267.05,580.38,0.0,84.18,677.65,576.62,468.08,612.13,932.18,208.56,Janeiro,2024
2024-01-18,4648.259999999999,4383.11,265.15,327.3,623.55,148.57,603.54,0.0,85.74,528.62,540.41,227.64,455.12,688.9,153.72,Janeiro,2024
2024-01-19,4544.29,4346.55,197.74,244.36,589.78,158.01,644.88,0.0,55.91,498.71,457.51,299.06,565.84,681.13,151.36,Janeiro,2024
2024-01-22,6101.49,5795.47,306.02,556.07,576.42,88.94,961.08,0.0,1.24,834.73,570.79,535.41,794.27,717.15,159.37,Janeiro,2024
2024-01-23,6614.740000000001,6414.06,200.68,445.94,326.65,89.6,1167.32,0.0,26.78,334.86,710.4,711.6,1132.72,1201.25,266.94,Janeiro,2024
2024-01-24,5822.43,5562.34,260.09,188.92,205.1,57.06,1510.44,0.0,12.71,621.16,619.87,507.35,829.87,826.25,183.61,Janeiro,2024
2024-01-25,5221.81,4722.76,499.05,4.71,212.1,386.7,794.65,0.0,11.65,435.55,549.82,522.45,815.16,799.77,190.2,Janeiro,2024
2024-01-26,4763.65,4763.65,0.0,297.83,522.77,280.77,716.73,0.0,0.0,677.18,403.9,465.75,750.07,530.71,117.94,Janeiro,2024
2024-01-27,377.8200000000001,194.21,183.61,194.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Janeiro,2024
2024-01-29,5036.8,4776.45,260.35,217.14,395.47,109.98,985.59,0.0,0.0,543.89,631.24,455.44,631.11,659.94,146.65,Janeiro,2024
2024-01-30,5733.94,5354.95,378.99,199.69,720.38,0.0,1031.05,0.0,16.24,460.44,321.12,464.8,838.76,1065.66,236.81,Janeiro,2024
2024-01-31,5732.31,5237.97,494.34,150.02,538.07,6.59,1307.32,29.43,0.0,489.01,542.19,399.9,864.21,745.51,165.72,Janeiro,2024
2024-02-01,4790.139999999999,4465.7,324.44,20.01,409.95,328.15,496.75,0.0,5.8,514.02,617.6,491.17,671.13,745.16,165.96,Fevereiro,2024
2024-02-02,5448.25,5289.35,158.9,48.09,1090.03,216.04,891.87,29.43,0.0,491.49,579.85,387.11,385.03,954.78,215.63,Fevereiro,2024
2024-02-05,5085.63,5085.63,0.0,210.59,127.42,277.48,884.46,10.3,0.0,594.35,589.23,590.46,691.43,907.47,202.44,Fevereiro,2024
2024-02-06,5044.25,4710.57,333.68,42.02,376.76,117.13,800.24,0.0,0.0,449.08,579.61,386.17,975.59,805.07,178.9,Fevereiro,2024
2024-02-07,4536.3,4536.3,0.0,390.18,577.84,195.91,745.45,0.0,0.0,503.99,544.36,294.58,487.63,650.41,145.95,Fevereiro,2024
2024-02-08,5240.44,5240.44,0.0,242.05,973.44,168.62,639.52,0.0,1.06,502.54,615.16,410.2,610.66,881.34,195.85,Fevereiro,2024
